"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"venue_19__base__1H","venue_19__base","1H",24043,"19","Coors Field","COL",0.0269664665298697,0.00209008853344476,0.00177156698977648,0.00149532001481387,0.0269664665298697,0.0287380335196462,870.755121882902,921.390021698806,"bacon_resid"
"venue_19__base__2H","venue_19__base","2H",22394,"19","Coors Field","COL",0.0269664665298697,0.00209008853344476,-0.000687186819304961,0.0014962220072276,0.0269664665298697,0.0262792797105648,870.755121882902,851.1139590304,"bacon_resid"
"venue_2529__sutter_health__1H","venue_2529__sutter_health","1H",4303,"2529","Sutter Health Park","ATH",0.0159549048274564,0.00425599854783503,0.000704358857201281,0.00160673083315628,0.0159549048274564,0.0166592636846576,556.022838635346,576.154812404699,"bacon_resid"
"venue_2529__sutter_health__2H","venue_2529__sutter_health","2H",1985,"2529","Sutter Health Park","ATH",0.0159549048274564,0.00425599854783503,-6.27774918072917e-05,0.00161554998747313,0.0159549048274564,0.0158921273356491,556.022838635346,554.228533352678,"bacon_resid"
"venue_3__base__2H","venue_3__base","2H",21441,"3","Fenway Park","BOS",0.0137228617205718,0.00211321953991069,0.0013030338381295,0.00149982627817527,0.0137228617205718,0.0150258955587013,492.226617688521,529.469910339139,"bacon_resid"
"venue_5340__base__1H","venue_5340__base","1H",326,"5340","Estadio Alfredo Harp Helu","AZ",0.013339796040269,0.0075731272660115,0.000536422162974489,0.00163475750640925,0.013339796040269,0.0138762182032435,481.277840443868,496.609850262289,"bacon_resid"
"venue_5355__sutter_health__1H","venue_5355__sutter_health","1H",342,"5355","Las Vegas Ballpark","ATH",0.0130022147443205,0.00755313942849197,0.000522847286086884,0.00163460796924571,0.0130022147443205,0.0135250620304073,471.629097156868,486.573110057767,"bacon_resid"
"venue_3__base__1H","venue_3__base","1H",23366,"3","Fenway Park","BOS",0.0137228617205718,0.00211321953991069,-0.000751207772397096,0.00149873395806252,0.0137228617205718,0.0129716539481747,492.226617688521,470.75560896248,"bacon_resid"
"venue_2602__base__2H","venue_2602__base","2H",20178,"2602","Great American Ball Park","CIN",0.00755003520634619,0.00214665676307672,0.00106018889365793,0.00150528781827634,0.00755003520634619,0.00861022410000412,315.794987424171,346.097289694477,"bacon_resid"
"venue_2602__base__1H","venue_2602__base","1H",22143,"2602","Great American Ball Park","CIN",0.00755003520634619,0.00214665676307672,-0.000756585584896952,0.00150411513123345,0.00755003520634619,0.00679344962144924,315.794987424171,294.170270145911,"bacon_resid"
