"season","home_team","venue_id","venue_name","park_era_id","n_bbe","prior_park_era_id","changed_from_prior"
2015,"ATH",10,"O.co Coliseum","venue_10__base",4398,,FALSE
2016,"ATH",10,"Oakland Coliseum","venue_10__base",4264,"venue_10__base",FALSE
2017,"ATH",10,"Oakland Coliseum","venue_10__base",4203,"venue_10__base",FALSE
2018,"ATH",10,"Oakland Coliseum","venue_10__base",4222,"venue_10__base",FALSE
2019,"ATH",10,"Oakland Coliseum","venue_10__base",4112,"venue_10__base",FALSE
2021,"ATH",10,"Oakland Coliseum","venue_10__base",4092,"venue_10__base",FALSE
2022,"ATH",10,"Oakland Coliseum","venue_10__base",4150,"venue_10__base",FALSE
2023,"ATH",10,"Oakland Coliseum","venue_10__base",4039,"venue_10__base",FALSE
2024,"ATH",10,"Oakland Coliseum","venue_10__base",4141,"venue_10__base",FALSE
2025,"ATH",2529,"Sutter Health Park","venue_2529__sutter_health",4279,"venue_10__base",TRUE
2026,"ATH",2529,"Sutter Health Park","venue_2529__sutter_health",2009,"venue_2529__sutter_health",FALSE
2015,"ATL",16,"Turner Field","venue_16__base",4173,,FALSE
2016,"ATL",16,"Turner Field","venue_16__base",4218,"venue_16__base",FALSE
2017,"ATL",4705,"SunTrust Park","venue_4705__suntrust",4297,"venue_16__base",TRUE
2018,"ATL",4705,"SunTrust Park","venue_4705__suntrust",4180,"venue_4705__suntrust",FALSE
2019,"ATL",4705,"SunTrust Park","venue_4705__suntrust",4091,"venue_4705__suntrust",FALSE
2021,"ATL",4705,"Truist Park","venue_4705__suntrust",3890,"venue_4705__suntrust",FALSE
2022,"ATL",4705,"Truist Park","venue_4705__suntrust",3872,"venue_4705__suntrust",FALSE
2023,"ATL",4705,"Truist Park","venue_4705__suntrust",4094,"venue_4705__suntrust",FALSE
2024,"ATL",4705,"Truist Park","venue_4705__suntrust",3959,"venue_4705__suntrust",FALSE
2025,"ATL",4705,"Truist Park","venue_4705__suntrust",4101,"venue_4705__suntrust",FALSE
2026,"ATL",4705,"Truist Park","venue_4705__suntrust",1997,"venue_4705__suntrust",FALSE
2015,"AZ",15,"Chase Field","venue_15__base",4280,,FALSE
2016,"AZ",15,"Chase Field","venue_15__base",4398,"venue_15__base",FALSE
2017,"AZ",15,"Chase Field","venue_15__base",4048,"venue_15__base",FALSE
2018,"AZ",15,"Chase Field","venue_15__humidor",4072,"venue_15__base",TRUE
2019,"AZ",15,"Chase Field","venue_15__humidor",4225,"venue_15__humidor",FALSE
2021,"AZ",15,"Chase Field","venue_15__humidor",4296,"venue_15__humidor",FALSE
2022,"AZ",15,"Chase Field","venue_15__humidor",4168,"venue_15__humidor",FALSE
2023,"AZ",15,"Chase Field","venue_15__humidor",4204,"venue_15__humidor",FALSE
2024,"AZ",15,"Chase Field","venue_15__humidor",4376,"venue_15__humidor",FALSE
2025,"AZ",15,"Chase Field","venue_15__humidor",4329,"venue_15__humidor",FALSE
2026,"AZ",15,"Chase Field","venue_15__humidor",2226,"venue_15__humidor",FALSE
2015,"BAL",2,"Oriole Park at Camden Yards","venue_2__base",4144,,FALSE
2016,"BAL",2,"Oriole Park at Camden Yards","venue_2__base",4172,"venue_2__base",FALSE
2017,"BAL",2,"Oriole Park at Camden Yards","venue_2__base",4420,"venue_2__base",FALSE
2018,"BAL",2,"Oriole Park at Camden Yards","venue_2__base",4319,"venue_2__base",FALSE
2019,"BAL",2,"Oriole Park at Camden Yards","venue_2__base",4412,"venue_2__base",FALSE
2021,"BAL",2,"Oriole Park at Camden Yards","venue_2__base",4244,"venue_2__base",FALSE
2022,"BAL",2,"Oriole Park at Camden Yards","venue_2__wall_deep",4208,"venue_2__base",TRUE
2023,"BAL",2,"Oriole Park at Camden Yards","venue_2__wall_deep",4115,"venue_2__wall_deep",FALSE
2024,"BAL",2,"Oriole Park at Camden Yards","venue_2__wall_deep",4228,"venue_2__wall_deep",FALSE
2025,"BAL",2,"Oriole Park at Camden Yards","venue_2__wall_medium",4098,"venue_2__wall_deep",TRUE
2026,"BAL",2,"Oriole Park at Camden Yards","venue_2__wall_medium",2405,"venue_2__wall_medium",FALSE
2015,"BOS",3,"Fenway Park","venue_3__base",4454,,FALSE
2016,"BOS",3,"Fenway Park","venue_3__base",4391,"venue_3__base",FALSE
2017,"BOS",3,"Fenway Park","venue_3__base",4324,"venue_3__base",FALSE
2018,"BOS",3,"Fenway Park","venue_3__base",4233,"venue_3__base",FALSE
2019,"BOS",3,"Fenway Park","venue_3__base",4069,"venue_3__base",FALSE
2021,"BOS",3,"Fenway Park","venue_3__base",4187,"venue_3__base",FALSE
2022,"BOS",3,"Fenway Park","venue_3__base",4276,"venue_3__base",FALSE
2023,"BOS",3,"Fenway Park","venue_3__base",4289,"venue_3__base",FALSE
2024,"BOS",3,"Fenway Park","venue_3__base",4160,"venue_3__base",FALSE
2025,"BOS",3,"Fenway Park","venue_3__base",4250,"venue_3__base",FALSE
2026,"BOS",3,"Fenway Park","venue_3__base",2174,"venue_3__base",FALSE
2015,"CHC",17,"Wrigley Field","venue_17__base",3890,,FALSE
2016,"CHC",17,"Wrigley Field","venue_17__base",3930,"venue_17__base",FALSE
2017,"CHC",17,"Wrigley Field","venue_17__base",4050,"venue_17__base",FALSE
2018,"CHC",17,"Wrigley Field","venue_17__base",4166,"venue_17__base",FALSE
2019,"CHC",17,"Wrigley Field","venue_17__base",4024,"venue_17__base",FALSE
2021,"CHC",17,"Wrigley Field","venue_17__base",3934,"venue_17__base",FALSE
2022,"CHC",17,"Wrigley Field","venue_17__base",4030,"venue_17__base",FALSE
2023,"CHC",17,"Wrigley Field","venue_17__base",4141,"venue_17__base",FALSE
2024,"CHC",17,"Wrigley Field","venue_17__base",3968,"venue_17__base",FALSE
2025,"CHC",17,"Wrigley Field","venue_17__base",4018,"venue_17__base",FALSE
2026,"CHC",17,"Wrigley Field","venue_17__base",2205,"venue_17__base",FALSE
2015,"CHW",4,"U.S. Cellular Field","venue_4__base",4144,,FALSE
2016,"CHW",4,"U.S. Cellular Field","venue_4__base",4192,"venue_4__base",FALSE
2017,"CHW",4,"Guaranteed Rate Field","venue_4__base",4111,"venue_4__base",FALSE
2018,"CHW",4,"Guaranteed Rate Field","venue_4__base",4077,"venue_4__base",FALSE
2019,"CHW",4,"Guaranteed Rate Field","venue_4__base",4007,"venue_4__base",FALSE
2021,"CHW",4,"Guaranteed Rate Field","venue_4__base",3747,"venue_4__base",FALSE
2022,"CHW",4,"Guaranteed Rate Field","venue_4__base",4277,"venue_4__base",FALSE
2023,"CHW",4,"Guaranteed Rate Field","venue_4__base",4100,"venue_4__base",FALSE
2024,"CHW",4,"Guaranteed Rate Field","venue_4__base",4153,"venue_4__base",FALSE
2025,"CHW",4,"Rate Field","venue_4__base",4093,"venue_4__base",FALSE
2026,"CHW",4,"Rate Field","venue_4__base",2107,"venue_4__base",FALSE
2015,"CIN",2602,"Great American Ball Park","venue_2602__base",4239,,FALSE
2016,"CIN",2602,"Great American Ball Park","venue_2602__base",4169,"venue_2602__base",FALSE
2017,"CIN",2602,"Great American Ball Park","venue_2602__base",4084,"venue_2602__base",FALSE
2018,"CIN",2602,"Great American Ball Park","venue_2602__base",4201,"venue_2602__base",FALSE
2019,"CIN",2602,"Great American Ball Park","venue_2602__base",3649,"venue_2602__base",FALSE
2021,"CIN",2602,"Great American Ball Park","venue_2602__base",3996,"venue_2602__base",FALSE
2022,"CIN",2602,"Great American Ball Park","venue_2602__base",4001,"venue_2602__base",FALSE
2023,"CIN",2602,"Great American Ball Park","venue_2602__base",4091,"venue_2602__base",FALSE
2024,"CIN",2602,"Great American Ball Park","venue_2602__base",4033,"venue_2602__base",FALSE
2025,"CIN",2602,"Great American Ball Park","venue_2602__base",3986,"venue_2602__base",FALSE
2026,"CIN",2602,"Great American Ball Park","venue_2602__base",1872,"venue_2602__base",FALSE
2015,"CLE",5,"Progressive Field","venue_5__base",4101,,FALSE
2016,"CLE",5,"Progressive Field","venue_5__base",4187,"venue_5__base",FALSE
2017,"CLE",5,"Progressive Field","venue_5__base",4023,"venue_5__base",FALSE
2018,"CLE",5,"Progressive Field","venue_5__base",4227,"venue_5__base",FALSE
2019,"CLE",5,"Progressive Field","venue_5__base",3918,"venue_5__base",FALSE
2021,"CLE",5,"Progressive Field","venue_5__base",3898,"venue_5__base",FALSE
2022,"CLE",5,"Progressive Field","venue_5__base",4236,"venue_5__base",FALSE
2023,"CLE",5,"Progressive Field","venue_5__base",4237,"venue_5__base",FALSE
2024,"CLE",5,"Progressive Field","venue_5__wind_tunnel",4014,"venue_5__base",TRUE
2025,"CLE",5,"Progressive Field","venue_5__wind_tunnel",3974,"venue_5__wind_tunnel",FALSE
2026,"CLE",5,"Progressive Field","venue_5__wind_tunnel",2003,"venue_5__wind_tunnel",FALSE
2015,"COL",19,"Coors Field","venue_19__base",4527,,FALSE
2016,"COL",19,"Coors Field","venue_19__base",4488,"venue_19__base",FALSE
2017,"COL",19,"Coors Field","venue_19__base",4304,"venue_19__base",FALSE
2018,"COL",19,"Coors Field","venue_19__base",4217,"venue_19__base",FALSE
2019,"COL",19,"Coors Field","venue_19__base",4551,"venue_19__base",FALSE
2021,"COL",19,"Coors Field","venue_19__base",4317,"venue_19__base",FALSE
2022,"COL",19,"Coors Field","venue_19__base",4566,"venue_19__base",FALSE
2023,"COL",19,"Coors Field","venue_19__base",4435,"venue_19__base",FALSE
2024,"COL",19,"Coors Field","venue_19__base",4242,"venue_19__base",FALSE
2025,"COL",19,"Coors Field","venue_19__base",4498,"venue_19__base",FALSE
2026,"COL",19,"Coors Field","venue_19__base",2292,"venue_19__base",FALSE
2015,"DET",2394,"Comerica Park","venue_2394__base",4408,,FALSE
2016,"DET",2394,"Comerica Park","venue_2394__base",4191,"venue_2394__base",FALSE
2017,"DET",2394,"Comerica Park","venue_2394__base",4551,"venue_2394__base",FALSE
2018,"DET",2394,"Comerica Park","venue_2394__base",4314,"venue_2394__base",FALSE
2019,"DET",2394,"Comerica Park","venue_2394__base",4330,"venue_2394__base",FALSE
2021,"DET",2394,"Comerica Park","venue_2394__base",4064,"venue_2394__base",FALSE
2022,"DET",2394,"Comerica Park","venue_2394__base",4194,"venue_2394__base",FALSE
2023,"DET",2394,"Comerica Park","venue_2394__cf_in_412",4096,"venue_2394__base",TRUE
2024,"DET",2394,"Comerica Park","venue_2394__cf_in_412",4032,"venue_2394__cf_in_412",FALSE
2025,"DET",2394,"Comerica Park","venue_2394__cf_in_412",4092,"venue_2394__cf_in_412",FALSE
2026,"DET",2394,"Comerica Park","venue_2394__cf_in_412",2190,"venue_2394__cf_in_412",FALSE
2015,"HOU",2392,"Minute Maid Park","venue_2392__base",3949,,FALSE
2016,"HOU",2392,"Minute Maid Park","venue_2392__base",4000,"venue_2392__base",FALSE
2017,"HOU",2392,"Minute Maid Park","venue_2392__base",3962,"venue_2392__base",FALSE
2018,"HOU",2392,"Minute Maid Park","venue_2392__base",3923,"venue_2392__base",FALSE
2019,"HOU",2392,"Minute Maid Park","venue_2392__base",4087,"venue_2392__base",FALSE
2021,"HOU",2392,"Minute Maid Park","venue_2392__base",4183,"venue_2392__base",FALSE
2022,"HOU",2392,"Minute Maid Park","venue_2392__base",3910,"venue_2392__base",FALSE
2023,"HOU",2392,"Minute Maid Park","venue_2392__base",4166,"venue_2392__base",FALSE
2024,"HOU",2392,"Minute Maid Park","venue_2392__base",4144,"venue_2392__base",FALSE
2025,"HOU",2392,"Daikin Park","venue_2392__base",3954,"venue_2392__base",FALSE
2026,"HOU",2392,"Daikin Park","venue_2392__base",2068,"venue_2392__base",FALSE
2015,"KCR",7,"Kauffman Stadium","venue_7__base",4290,,FALSE
2016,"KCR",7,"Kauffman Stadium","venue_7__base",4418,"venue_7__base",FALSE
2017,"KCR",7,"Kauffman Stadium","venue_7__base",4343,"venue_7__base",FALSE
2018,"KCR",7,"Kauffman Stadium","venue_7__base",4415,"venue_7__base",FALSE
2019,"KCR",7,"Kauffman Stadium","venue_7__base",4354,"venue_7__base",FALSE
