"park_era_id","venue_id","venue_name","home_team","component","delta_overall","pf_index_overall","park_se","n_bbe"
"venue_19__base","19","Coors Field","COL","bacon_resid",0.0279968832359703,718.049785249313,0.00229917238150626,44926
"venue_2529__sutter_health","2529","Sutter Health Park","ATH","bacon_resid",0.0150867265900918,433.04950592291,0.00470344163557001,5251
"venue_3__base","3","Fenway Park","BOS","bacon_resid",0.0139273456765198,407.455402514474,0.00231651200960744,43418
"venue_5340__base","5340","Estadio Alfredo Harp Helu","AZ","bacon_resid",0.0128363112652851,383.37009352205,0.00757572394670327,326
"venue_2602__base","2602","Great American Ball Park","CIN","bacon_resid",0.00952486976039596,310.267823754646,0.00234568233563477,41232
"venue_13__base","13","Globe Life Park in Arlington","TEX","bacon_resid",0.00848450139956428,287.301001463296,0.00297282400347195,21464
"venue_15__base","15","Chase Field","AZ","bacon_resid",0.00617850301659799,236.39455615061,0.00359830518173367,12397
"venue_2536__dunedin","2536","TD Ballpark","TOR","bacon_resid",0.00610195023199518,234.704602605237,0.00666091727813226,1086
"venue_5381__base","5381","London Stadium","BOS","bacon_resid",0.00536748293743893,218.490749447114,0.00755289955941665,346
"venue_2__wall_medium","2","Oriole Park at Camden Yards","BAL","bacon_resid",0.00455829645246944,200.627420552722,0.00466374929553008,5322
"venue_2681__base","2681","Citizens Bank Park","PHI","bacon_resid",0.00442320629751434,197.645215692432,0.00233932952356841,41699
"venue_2756__buffalo","2756","Sahlen Field","TOR","bacon_resid",0.0043485532335814,195.997199742118,0.00654530779492825,1197
"venue_2392__base","2392","Minute Maid Park","HOU","bacon_resid",0.00426043476769128,194.051926103589,0.00235121937725953,40963
"venue_2523__steinbrenner","2523","George M. Steinbrenner Field","TBR","bacon_resid",0.00365824782058697,180.758249439625,0.00511264705856864,4071
"venue_2735__base","2735","Journey Bank Ballpark","NYM","bacon_resid",0.00318831311988995,170.384128920601,0.00766891238357586,269
"venue_2536__base","2536","TD Ballpark","TOR","bacon_resid",0.00168045177499743,137.097088626087,0.00807685074362049,46
"venue_3312__base","3312","Target Field","MIN","bacon_resid",0.00155550170328316,134.338732835587,0.00231885245261246,43150
"venue_3949__base","3949","Rickwood Field","STL","bacon_resid",0.00124604609500269,127.507294827651,0.00810487473567696,32
"venue_2756__base","2756","Sahlen Field","TOR","bacon_resid",0.000920753666913569,120.326248507988,0.00808682291201833,41
"venue_5150__base","5150","Gocheok Sky Dome","LAD","bacon_resid",0.000822779059546862,118.16339400263,0.00792864599226072,123
"venue_15__humidor","15","Chase Field","AZ","bacon_resid",0.000816747121908511,118.030234974513,0.00258602023559148,30445
"venue_32__base","32","American Family Field","MIL","bacon_resid",0.000370351226142418,108.175749202328,0.00236064339666616,40326
"venue_2__base","2","Oriole Park at Camden Yards","BAL","bacon_resid",0.000131346270506325,102.899556125427,0.00278464454560752,25516
"venue_4705__suntrust","4705","Truist Park","ATL","bacon_resid",-0.00043043178546419,90.4979325616921,0.00251433432625798,33199
"venue_6130__base","6130","Bristol Motor Speedway","CIN","bacon_resid",-0.00052176752984378,88.481635364479,0.00808065627237239,44
"venue_12__base","12","Tropicana Field","TBR","bacon_resid",-0.000538796610708066,88.1057070983767,0.00246264602864354,35392
"venue_2395__bullpen_center","2395","Oracle Park","SFG","bacon_resid",-0.000964005448411117,78.7189396995387,0.00289827124167744,21341
"venue_4169__fence_reduced","4169","loanDepot park","MIA","bacon_resid",-0.00111260529931878,75.438499331678,0.00287799290159109,21742
"venue_2397__base","2397","Tokyo Dome","CHC","bacon_resid",-0.00113055551812377,75.0422363339686,0.00799451403795236,88
