"player_id","player_name","team","tbf","ip","gs","siera","xfip","k_minus_bb_pct","contact_pct","csw_pct","balls","pitches","ball_pct_raw","stuff_plus","pitching_plus","start_ip","relief_ip","start_ip_relief_ip_raw","ip_per_gs","ball_pct","start_share","start_ip_filled","relief_ip_filled","lookback_season","sp_skillz_weight_profile","sp_skillz_score_initial","sp_skillz_score_initial_stabilized","sp_skillz_reliability_initial","sp_skillz_rank_initial","sp_skillz_rank_initial_stabilized","sp_skillz_score","sp_skillz_score_stabilized","sp_skillz_reliability","sp_skillz_rank","sp_skillz_rank_stabilized","sp_skillz_starter_pool_flag","tbf_z","tbf_sample","tbf_rel","w_tbf","w_eff_tbf","ip_per_gs_z","ip_per_gs_sample","ip_per_gs_rel","w_ip_per_gs","w_eff_ip_per_gs","siera_z","siera_sample","siera_rel","w_siera","w_eff_siera","xfip_z","xfip_sample","xfip_rel","w_xfip","w_eff_xfip","k_minus_bb_pct_z","k_minus_bb_pct_sample","k_minus_bb_pct_rel","w_k_minus_bb_pct","w_eff_k_minus_bb_pct","contact_pct_z","contact_pct_sample","contact_pct_rel","w_contact_pct","w_eff_contact_pct","csw_pct_z","csw_pct_sample","csw_pct_rel","w_csw_pct","w_eff_csw_pct","ball_pct_z","ball_pct_sample","ball_pct_rel","w_ball_pct","w_eff_ball_pct","stuff_plus_z","stuff_plus_sample","stuff_plus_rel","w_stuff_plus","w_eff_stuff_plus","pitching_plus_z","pitching_plus_sample","pitching_plus_rel","w_pitching_plus","w_eff_pitching_plus"
669373,"Tarik Skubal","DET",748,195.333333333333,31,2.71344699538584,2.66399980772163,7.3030303,0.69587629,0.32081432,846,2849,,116.021885104919,119.267320261438,195.333333333333,,,6.3010752688172,29.6946296946297,1,195.333333333333,0,2025,"high_ip",24.6673447971905,21.908307899343,0.890606687549223,1,1,23.5985349779412,20.9844162857388,0.890606687549223,1,1,TRUE,1.21397275878819,748,0.998664886515354,0,0,1.20199239234875,31,0.96875,0,0,-2.15390690888926,195.333333333333,0.866863905325444,-1.61,-1.39565088757396,-1.99055485929292,195.333333333333,0.866863905325444,-1.34,-1.16159763313609,2.39741046744173,748,0.861751152073733,2,1.72350230414747,-1.77451081573127,748,0.832962138084632,-1.73,-1.44102449888641,2.09391699145124,2849,0.934404722859954,1.19,1.11194162020335,-2.49596703104865,2849,0.949983327775925,-0.58,-0.550990330110037,1.6021885104919,2849,0.96609020006782,1.56,1.5071007121058,1.9267320261438,2849,0.904731660844713,1.64,1.48375992378533
660271,"Shohei Ohtani","LAD",188,47,14,2.66728776305178,2.44903102504446,6.88888889,0.71542553,0.3001328,258,753,,119.4801062417,117.829375830013,47,,,3.35714285714286,34.2629482071713,1,47,0,2025,"low_ip",21.3450123154603,14.7760430721217,0.694007243900974,2,6,19.5672666353742,13.6249741659489,0.694007243900974,2,5,TRUE,-1.17730647717016,188,0.994708994708995,0,0,-3.21532025109093,14,0.933333333333333,0,0,-2.23931806419947,47,0.61038961038961,-0.76,-0.463896103896104,-2.35247775090566,47,0.61038961038961,-0.42,-0.256363636363636,2.13358383566376,188,0.61038961038961,1.23,0.750779220779221,-1.19482048496151,188,0.556213017751479,-2,-1.11242603550296,0.986085257301518,753,0.790136411332634,1.26,0.995571878279119,-0.517825945968553,753,0.833887043189369,-0.01,-0.00833887043189369,1.94801062417,753,0.882766705744431,1.75,1.54484173505276,1.7829375830013,753,0.715099715099715,1.15,0.822364672364672
668881,"Hunter Greene","CIN",420,107.666666666667,19,3.06314697997177,3.26757428106362,5.07692308,0.71075269,0.30549199,549,1748,,123.547687894435,123.492587492828,107.666666666667,,,5.66666666666667,31.4073226544622,1,107.666666666667,0,2025,"high_ip",20.1312157538518,16.8499627238783,0.82530223005085,3,2,18.0557831428351,15.2011938065764,0.82530223005085,3,2,TRUE,-0.186633650844559,420,0.997624703087886,0,0,0.250074770777874,19,0.95,0,0,-1.50683636232372,107.666666666667,0.782082324455206,-1.61,-1.25915254237288,-0.974372807298761,107.666666666667,0.782082324455206,-1.34,-1.04799031476998,0.979280438306952,420,0.777777777777778,2,1.55555555555556,-1.3333834247604,420,0.736842105263158,-1.73,-1.27473684210526,1.27315703690659,1748,0.897330595482546,1.19,1.06782340862423,-1.75434879653389,1748,0.920969441517387,-0.58,-0.534162276080084,2.3547687894435,1748,0.945887445887446,1.56,1.47558441558442,2.3492587492828,1748,0.853515625,1.64,1.399765625
666142,"Cole Ragans","KCR",257,61.6666666666667,13,2.51825140139923,2.4520953323618,4.9,0.67984934,0.31510658,374,1079,,108.808454376164,106.733631284916,61.6666666666667,,,4.74358974358974,34.6617238183503,1,61.6666666666667,0,2025,"low_ip",18.3401963837595,13.2966178043359,0.753886236671321,5,8,17.6992215370888,12.814176289698,0.753886236671321,4,7,TRUE,-0.882666714168149,257,0.996124031007752,0,0,-1.13498398498888,13,0.928571428571429,0,0,-2.51508885128385,61.6666666666667,0.672727272727273,-0.76,-0.511272727272727,-2.34731866244979,61.6666666666667,0.672727272727273,-0.42,-0.282545454545455,0.866572510161868,257,0.681697612732096,1.23,0.838488063660477,-2.24975527263754,257,0.631449631449631,-2,-1.26289926289926,1.7881746909687,1079,0.843627834245504,1.26,1.06297107114934,-0.345150941361168,1079,0.877949552481692,-0.01,-0.00877949552481692,0.880845437616399,1079,0.91518235793045,1.75,1.60156912637829,0.6733631284916,1079,0.782451051486584,1.15,0.899818709209572
686790,"Trevor McDonald","SFG",60,15,2,3.07684535583271,2.69629586140315,7,0.70754717,0.35680751,60,213,,94.9668560515636,107.038950337303,13,2,,7.5,28.169014084507,0.866666666666667,13,2,2025,"low_ip",17.8278986830442,6.48557994083239,0.426835778945426,7,37,17.0204837890917,6.34788217125755,0.426835778945426,5,25,TRUE,-1.72388458824635,60,0.983606557377049,0,0,3.00095535514795,2,0.666666666666667,0,0,-1.48148944797972,13,0.302325581395349,-0.76,-0.229767441860465,-1.93618100560808,13,0.302325581395349,-0.42,-0.126976744186046,2.20436659053102,60,0.333333333333333,1.23,0.41,-1.42843617100983,60,0.285714285714286,-2,-0.571428571428571,4.02193766378482,213,0.515738498789346,1.26,0.649830508474576,-3.15657835010138,213,0.586776859504132,-0.01,-0.00586776859504132,-0.50331439484364,213,0.680511182108626,1.75,1.1908945686901,0.703895033730301,213,0.415204678362573,1.15,0.477485380116959
554430,"Zack Wheeler","PHI",585,149.666666666667,24,2.73081445209842,2.73152650134757,5.90909091,0.71083333,0.28863826,845,2394,,111.645039765592,119.706923398912,149.666666666667,,,6.23611111111111,35.296574770259,1,149.666666666667,0,2025,"high_ip",18.5905482095181,15.8967318654087,0.866335442511936,4,4,16.7825291102163,14.3392962619012,0.866335442511936,6,4,TRUE,0.517939695464598,585,0.998293515358362,0,0,1.10451495228676,24,0.96,0,0,-2.1217708774257,149.666666666667,0.833024118738404,-1.61,-1.34116883116883,-1.87686646270907,149.666666666667,0.833024118738404,-1.34,-1.11625231910946,1.50940862728202,585,0.829787234042553,2,1.65957446808511,-1.33099222038247,585,0.795918367346939,-1.73,-1.3769387755102,0.370365707604333,2394,0.92289899768697,1.19,1.09824980724749,-0.0702522565551382,2394,0.941037735849057,-0.58,-0.545801886792453,1.1645039765592,2394,0.95990376904571,1.56,1.49744987971131,1.9706923398912,2394,0.888641425389755,1.64,1.4573719376392
650911,"Cristopher Sanchez","PHI",807,202,32,3.02081921202277,2.77090914455971,4.81818182,0.71719298,0.31377287,956,2897,,114.269112959113,116.986437976438,202,,,6.3125,32.9996548153262,1,202,0,2025,"high_ip",17.9389312053014,16.0686356566422,0.895032391927185,6,3,16.2558099905367,14.5934150257469,0.895032391927185,7,3,TRUE,1.46591110686237,807,0.998762376237624,0,0,1.21913497663552,32,0.96969696969697,0,0,-1.58515793266662,202,0.870689655172414,-1.61,-1.40181034482759,-1.81056157912002,202,0.870689655172414,-1.34,-1.16672413793103,0.814450664033021,807,0.870550161812298,2,1.7411003236246,-1.14241058692358,807,0.843260188087774,-1.73,-1.45884012539185,1.71673283069185,2897,0.935421375524701,1.19,1.11315143687439,-1.06484834689319,2897,0.95077125041024,-0.58,-0.551447325237939,1.4269112959113,2897,0.966633299966633,1.56,1.50794794794795,1.6986437976438,2897,0.906162026900219,1.64,1.48610572411636
813349,"Connelly Early","BOS",79,19.3333333333333,4,2.34459967651429,2.34641080079569,7.25,0.68292683,0.29411765,115,323,,97.7082608695652,107.340559006211,19.3333333333333,,,4.83333333333333,35.6037151702786,1,19.3333333333333,0,2025,"low_ip",17.0275001685612,6.77198045148103,0.507947523966831,10,34,15.9128419616834,6.17998501224047,0.507947523966831,8,26,TRUE,-1.64275189988348,79,0.9875,0,0,-1.00032549484489,4,0.8,0,0,-2.83640689957143,19.3333333333333,0.391891891891892,-0.76,-0.297837837837838,-2.52524985221043,19.3333333333333,0.391891891891892,-0.42,-0.164594594594595,2.36362779057496,79,0.396984924623116,1.23,0.488291457286432,-2.15849897847773,79,0.344978165938865,-2,-0.689956331877729,0.663876151990561,323,0.617590822179732,1.26,0.778164435946463,0.06274351475521,323,0.682875264270613,-0.01,-0.00682875264270613,-0.229173913043481,323,0.763593380614657,1.75,1.33628841607565,0.7340559006211,323,0.518459069020867,1.15,0.596227929373997
695505,"Chase Burns","CIN",188,43.3333333333333,8,2.75623916684627,2.68040069184377,4.1875,0.69825436,0.28627451,266,765,,114.56173858377,120.599336823508,34.3333333333333,9,,5.41666666666667,34.7712418300654,0.792307692307692,34.3333333333333,9,2025,"low_ip",17.3882710857916,11.6276448796584,0.684605028856545,8,13,15.6747335034988,10.4390593044351,0.684605028856545,9,13,TRUE,-1.17730647717016,188,0.994708994708995,0,0,-0.125045308908955,8,0.888888888888889,0,0,-2.07472602528581,34.3333333333333,0.533678756476684,-0.76,-0.40559585492228,-1.96294222022706,34.3333333333333,0.533678756476684,-0.42,-0.224145077720207,0.41267809003662,188,0.61038961038961,1.23,0.750779220779221,-1.7039943053762,188,0.556213017751479,-2,-1.11242603550296,0.243748454056412,765,0.792746113989637,1.26,0.998860103626943,-0.297728223804362,765,0.836065573770492,-0.01,-0.00836065573770492,1.456173858377,765,0.884393063583815,1.75,1.54768786127168,2.0599336823508,765,0.71830985915493,1.15,0.826056338028169
680694,"Kyle Bradish","BAL",126,32,6,2.63007491506731,2.67426692582667,4.7,0.67567568,0.33198381,178,494,,94.7752032520325,105.065731707317,32,,,5.33333333333333,36.0323886639676,1,32,0,2025,"low_ip",15.6850960393865,8.28682216370226,0.609267195934064,12,24,15.3393416875722,8.12065683353596,0.609267195934064,10,17,TRUE,-1.44205524972269,126,0.992125984251969,0,0,-0.250085335471232,6,0.857142857142857,0,0,-2.30817519587216,32,0.516129032258065,-0.76,-0.392258064516129,-1.97326907004097,32,0.516129032258065,-0.42,-0.216774193548387,0.73916355012671,126,0.51219512195122,1.23,0.63,-2.37351611172492,126,0.456521739130435,-2,-0.91304347826087,2.6922248274453,494,0.711815561959654,1.26,0.896887608069164,0.24836468972867,494,0.767080745341615,-0.01,-0.00767080745341615,-0.52247967479675,494,0.831649831649832,1.75,1.45538720538721,0.5065731707317,494,0.622166246851385,1.15,0.715491183879093
