"player_name","team","pa","bb","hr","sb","r","rbi","avg","obp","adp","adp_match_method"
"Joc Pederson","TEX",397.4,43.8,16.8,3,48.8,50.3,0.234,0.312,600.95,"filled_max_adp"
"Andrés Chaparro","WSN",285.7,22.4,9.8,1.1,29.4,34.4,0.232,0.288,600.95,"filled_max_adp"
"Ramón Urías","STL",283.7,20.7,7.5,1.8,30.2,30.5,0.245,0.295,600.95,"filled_max_adp"
"Oswald Peraza","LAA",277.1,20.1,7.8,9.9,30.1,27.5,0.223,0.274,600.95,"filled_max_adp"
"Amed Rosario","NYY",253,11.9,4.6,5.4,28.7,25.6,0.262,0.292,600.95,"filled_max_adp"
"Dominic Smith","ATL",229.9,17.8,5.4,1.2,23.9,24.5,0.24,0.293,600.95,"filled_max_adp"
"Everson Pereira","CHW",225.2,17.7,8.2,3.9,25.4,25.2,0.224,0.281,600.95,"filled_max_adp"
"Sam Haggerty","TEX",223,18.3,3.5,11.6,26.9,18.9,0.241,0.297,600.95,"filled_max_adp"
"José Tena","WSN",222.9,15.1,4.2,6.4,23.2,21.1,0.244,0.292,600.95,"filled_max_adp"
"Jesse Winker",,216.1,26.8,5.7,3.3,25.3,22.5,0.234,0.324,600.95,"filled_max_adp"
"Bryce Teodosio","LAA",215.9,11.5,3.1,9.2,21.9,16.5,0.21,0.246,600.95,"filled_max_adp"
"Robert Hassell III","WSN",210.2,15,4,4.8,20.4,19.5,0.239,0.29,600.95,"filled_max_adp"
"Andy Ibáñez","ATH",189.9,12.9,4.3,2.7,20.6,19.4,0.244,0.29,600.95,"filled_max_adp"
