"player_name","team","adp","adp_rank","proj_ip","proj_w","proj_sv","proj_hld","proj_k","proj_h","proj_bb","proj_hbp","proj_hr","proj_era","proj_whip","sp_skillz_2025_score_stabilized","sp_skillz_2025_rank_stabilized","sp_skillz_2026_score_stabilized","sp_skillz_2026_rank_stabilized","eno_rank","ck_rank","ds_rank","ottoneu_fg_pts"
"Shohei Ohtani","LAD",1.34,1,114,10,0,0,138,87,39,5,13,3.08,1.1,13.625,5,12.254,9,22,,,601.5
"Tarik Skubal","DET",6.82,2,202,15,0,0,247,154,44,8,19,2.55,0.98,20.984,1,22.561,1,1,1,1,1198.7
"Paul Skenes","PIT",9.66,3,191,14,0,0,230,152,51,8,17,2.74,1.06,10.996,10,12.1,10,2,2,3,1092.1
"Garrett Crochet","BOS",12.2,4,199,14,0,0,246,162,53,8,20,2.9,1.08,13.547,6,13.949,6,3,3,2,1114.4
"Yoshinobu Yamamoto","LAD",25.73,5,155,13,0,0,172,124,51,7,16,3.22,1.14,6.114,28,6.375,27,4,11,7,797.8
"Cristopher Sánchez","PHI",27.2,6,202,15,0,0,206,177,53,9,18,3.09,1.13,14.593,3,14.842,2,5,6,6,1039.2
"Hunter Brown","HOU",35.93,7,182,12,0,0,198,154,61,8,19,3.36,1.19,4.041,36,3.667,40,6,5,5,901.7
"Bryan Woo","SEA",38.5,8,197,14,0,0,208,162,45,8,24,3.14,1.05,6.423,24,7.213,22,9,14,12,998.4
"Logan Gilbert","SEA",40.75,9,164,12,0,0,184,133,39,7,20,3.05,1.05,11.064,9,12.33,8,8,4,4,851.8
"Chris Sale","ATL",45.98,10,162,12,0,0,198,130,47,7,18,3.02,1.09,10.783,11,13.215,7,10,10,11,873.4
"Max Fried","NYY",48.66,11,188,14,0,0,181,161,59,8,18,3.32,1.17,4.92,32,4.57,37,7,7,9,912.2
"Cole Ragans","KCR",53.07,12,164,11,0,0,196,135,59,8,18,3.37,1.18,12.814,7,14.003,5,12,8,10,832.2
"Jacob deGrom","TEX",54.05,13,170,11,0,0,185,139,46,7,22,3.41,1.09,10.542,12,9.779,13,13,23,23,837
"Logan Webb","SFG",58,14,205,13,0,0,200,191,48,9,17,3.25,1.17,8.986,15,9.064,15,15,12,13,1040.3
"Freddy Peralta","NYM",59.34,15,163,11,0,0,178,136,62,8,22,3.74,1.22,1.709,50,1.109,55,21,13,14,728
"George Kirby","SEA",71.11,16,172,12,0,0,171,152,34,7,20,3.21,1.08,4.479,35,4.573,36,14,16,16,850.6
"Jesús Luzardo","PHI",75.5,17,178,13,0,0,200,150,57,8,22,3.48,1.16,7.998,18,8.524,16,33,19,19,861.6
"Kyle Bradish","BAL",75.91,18,145,10,0,0,157,128,47,7,16,3.52,1.2,8.121,17,9.621,14,19,27,29,695.4
"Joe Ryan","MIN",78.41,19,168,10,0,0,183,146,41,7,25,3.62,1.11,3.953,38,4.96,34,20,18,18,778.1
"Dylan Cease","TOR",80,20,172,12,0,0,199,141,68,8,21,3.55,1.21,6.67,23,6.67,26,27,15,15,817.9
"Framber Valdez","DET",81.55,21,194,14,0,0,189,170,65,9,15,3.28,1.22,3.41,41,3.214,43,16,17,17,965.1
"Eury Pérez","MIA",82.39,22,133,8,0,0,150,109,46,6,18,3.59,1.17,3.953,37,3.266,42,18,22,21,623.4
"Nolan McLean","NYM",92.7,23,145,11,0,0,144,128,61,7,15,3.69,1.31,10.117,14,7.816,19,28,21,22,639.7
"Nick Pivetta","SDP",97.23,24,174,11,0,0,187,146,55,8,25,3.76,1.16,0.525,60,0.904,58,37,30,30,785.5
